epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,818.955,0.64731,0.44765,0.92053,0.96698,1,0.99125,0.8525,0.56712,0.27747,0.94567,0.000185223,0.000185223,0.000185223
60,832.348,0.64282,0.44799,0.92926,0.97111,0.99173,0.99083,0.8555,0.57207,0.28664,0.94137,0.000180917,0.000180917,0.000180917
61,845.812,0.64039,0.46861,0.92997,0.96697,0.98961,0.99208,0.85966,0.53891,0.2783,0.92985,0.00017661,0.00017661,0.00017661
62,859.232,0.66153,0.46868,0.94019,0.97439,1,0.99125,0.85582,0.54112,0.29737,0.93568,0.000172304,0.000172304,0.000172304
63,873.038,0.65775,0.45008,0.94443,0.97279,0.9937,0.9925,0.8563,0.55511,0.29252,0.93581,0.000167997,0.000167997,0.000167997
64,886.52,0.64265,0.46614,0.93203,0.97392,1,0.99125,0.85824,0.53115,0.26974,0.93048,0.000163691,0.000163691,0.000163691
65,899.949,0.65914,0.46059,0.94469,0.97575,1,0.99125,0.85117,0.57379,0.29875,0.94942,0.000159384,0.000159384,0.000159384
66,913.401,0.64201,0.43972,0.91814,0.97047,0.99741,0.99167,0.86481,0.55182,0.28795,0.93821,0.000155078,0.000155078,0.000155078
67,926.847,0.64021,0.43372,0.93524,0.96732,1,0.99167,0.86384,0.55136,0.27906,0.93317,0.000150771,0.000150771,0.000150771
68,940.26,0.64307,0.43553,0.93058,0.97489,1,0.99125,0.86245,0.55807,0.28163,0.94077,0.000146464,0.000146464,0.000146464
69,953.686,0.64535,0.43332,0.93587,0.97721,0.99305,0.99125,0.87043,0.52795,0.27832,0.92678,0.000142158,0.000142158,0.000142158
70,967.144,0.64685,0.4187,0.94314,0.9784,0.9925,0.99125,0.86269,0.54906,0.27767,0.93832,0.000137852,0.000137852,0.000137852
71,980.578,0.62826,0.40788,0.9181,0.97882,0.99899,0.99125,0.86265,0.53031,0.27793,0.9245,0.000133545,0.000133545,0.000133545
72,994.344,0.62529,0.40823,0.93551,0.96831,0.99408,0.99125,0.86228,0.541,0.26663,0.92651,0.000129239,0.000129239,0.000129239
73,1007.84,0.64582,0.41236,0.92254,0.96411,0.99955,0.99208,0.86039,0.54011,0.26693,0.92763,0.000124932,0.000124932,0.000124932
